wn;HbO2;Hb
250;106112;112736
252;105552;112736
254;107660;112736
256;109788;113824
258;112944;115040
260;116376;116296
262;120188;117564
264;124412;118876
266;128696;120208
268;133064;121544
270;136068;122880
272;137232;123096
274;138408;121952
276;137424;120808
278;135820;119840
280;131936;118872
282;127720;117628
284;122280;114820
286;116508;112008
288;108484;107140
290;104752;98364
292;98936;91636
294;88136;85820
296;79316;77100
298;70884;69444
300;65972;64440
302;63208;61300
304;61952;58828
306;62352;56908
308;62856;57620
310;63352;59156
312;65972;62248
314;69016;65344
316;72404;68312
318;75536;71208
320;78752;74508
322;82256;78284
324;85972;82060
326;89796;85592
328;93768;88516
330;97512;90856
332;100964;93192
334;103504;95532
336;104968;99792
338;106452;104476
340;107884;108472
342;109060;110996
344;110092;113524
346;109032;116052
348;107984;118752
350;106576;122092
352;105040;125436
354;103696;128776
356;101568;132120
358;97828;133632
360;94744;134940
362;92248;136044
364;89836;136972
366;88484;137900
368;87512;138856
370;88176;139968
372;91592;141084
374;95140;142196
376;98936;143312
378;103432;144424
380;109564;145232
382;116968;145232
384;125420;148668
386;135132;153908
388;148100;159544
390;167748;167780
392;189740;180004
394;212060;191540
396;231612;202124
398;248404;212712
400;266232;223296
402;284224;236188
404;308716;253368
406;354208;270548
408;422320;287356
410;466840;303956
412;500200;321344
414;524280;342596
416;521880;363848
418;515520;385680
420;480360;407560
422;431880;429880
424;376236;461200
426;326032;481840
428;283112;500840
430;246072;528600
432;214120;552160
434;165332;552160
436;132820;547040
438;119140;501560
440;102580;413280
442;92780;363240
444;81444;282724
446;76324;237224
448;67044;173320
450;62816;103292
452;58864;62640
454;53552;36170
456;49496;306.988.000.000.000
458;47496;258.864.000.000.000
460;44480;233.888.000.000.000
462;41320;208.912.000.000.000
464;398.072.000.000.000;192.608.000.000.000
466;370.732.000.000.000;181.424.000.000.000
468;348.708.000.000.000;170.256.000.000.000
470;332.092.000.000.000;161.564.000.000.000
472;31620;15310
474;301.136.000.000.000;150.484.000.000.000
476;288.508.000.000.000;147.928.000.000.000
478;27718;146.572.000.000.000
480;266.292.000.000.000;14550
482;257.016.000.000.000;148.812.000.000.000
484;251.804.000.000.000;152.124.000.000.000
486;246.696.000.000.000;155.436.000.000.000
488;241.748.000.000.000;15898
490;236.844.000.000.000;16684
492;230.868.000.000.000;174.696.000.000.000
494;224.576.000.000.000;182.556.000.000.000
496;218.504.000.000.000;190.412.000.000.000
498;21260;198.912.000.000.000
500;209.328.000.000.000;20862
502;205.964.000.000.000;218.328.000.000.000
504;20418;228.036.000.000.000
506;19946;237.744.000.000.000
508;19996;247.452.000.000.000
510;200.352.000.000.000;257.736.000.000.000
512;201.504.000.000.000;269.368.000.000.000
514;204.292.000.000.000;28100
516;210.016.000.000.000;292.632.000.000.000
518;225.096.000.000.000;304.264.000.000.000
520;242.024.000.000.000;315.896.000.000.000
522;264.504.000.000.000;328.512.000.000.000
524;292.692.000.000.000;343.976.000.000.000
526;324.964.000.000.000;35944
528;35990;37490
530;399.568.000.000.000;390.364.000.000.000
532;43876;40584
534;46924;42088
536;49752;43592
538;51712;45092
540;53236;46592
542;53292;48148
544;52096;49708
546;49868;51268
548;46660;52496
550;43016;53412
552;396.752.000.000.000;54080
554;368.152.000.000.000;54520
556;344.768.000.000.000;54540
558;33456;54164
