lambda;HBo2;Hb
250;1.0611e+05;1.1274e+05
252;1.0555e+05;1.1274e+05
254;1.0766e+05;1.1274e+05
256;1.0979e+05;1.1382e+05
258;1.1294e+05;1.1504e+05
260;1.1638e+05;1.163e+05
262;1.2019e+05;1.1756e+05
264;1.2441e+05;1.1888e+05
266;1.287e+05;1.2021e+05
268;1.3306e+05;1.2154e+05
270;1.3607e+05;1.2288e+05
272;1.3723e+05;1.231e+05
274;1.3841e+05;1.2195e+05
276;1.3742e+05;1.2081e+05
278;1.3582e+05;1.1984e+05
280;1.3194e+05;1.1887e+05
282;1.2772e+05;1.1763e+05
284;1.2228e+05;1.1482e+05
286;1.1651e+05;1.1201e+05
288;1.0848e+05;1.0714e+05
290;1.0475e+05;98364
292;98936;91636
294;88136;85820
296;79316;77100
298;70884;69444
300;65972;64440
302;63208;61300
304;61952;58828
306;62352;56908
308;62856;57620
310;63352;59156
312;65972;62248
314;69016;65344
316;72404;68312
318;75536;71208
320;78752;74508
322;82256;78284
324;85972;82060
326;89796;85592
328;93768;88516
330;97512;90856
332;1.0096e+05;93192
334;1.035e+05;95532
336;1.0497e+05;99792
338;1.0645e+05;1.0448e+05
340;1.0788e+05;1.0847e+05
342;1.0906e+05;1.11e+05
344;1.1009e+05;1.1352e+05
346;1.0903e+05;1.1605e+05
348;1.0798e+05;1.1875e+05
350;1.0658e+05;1.2209e+05
352;1.0504e+05;1.2544e+05
354;1.037e+05;1.2878e+05
356;1.0157e+05;1.3212e+05
358;97828;1.3363e+05
360;94744;1.3494e+05
362;92248;1.3604e+05
364;89836;1.3697e+05
366;88484;1.379e+05
368;87512;1.3886e+05
370;88176;1.3997e+05
372;91592;1.4108e+05
374;95140;1.422e+05
376;98936;1.4331e+05
378;1.0343e+05;1.4442e+05
380;1.0956e+05;1.4523e+05
382;1.1697e+05;1.4523e+05
384;1.2542e+05;1.4867e+05
386;1.3513e+05;1.5391e+05
388;1.481e+05;1.5954e+05
390;1.6775e+05;1.6778e+05
392;1.8974e+05;1.8e+05
394;2.1206e+05;1.9154e+05
396;2.3161e+05;2.0212e+05
398;2.484e+05;2.1271e+05
400;2.6623e+05;2.233e+05
402;2.8422e+05;2.3619e+05
404;3.0872e+05;2.5337e+05
406;3.5421e+05;2.7055e+05
408;4.2232e+05;2.8736e+05
410;4.6684e+05;3.0396e+05
412;5.002e+05;3.2134e+05
414;5.2428e+05;3.426e+05
416;5.2188e+05;3.6385e+05
418;5.1552e+05;3.8568e+05
420;4.8036e+05;4.0756e+05
422;4.3188e+05;4.2988e+05
424;3.7624e+05;4.612e+05
426;3.2603e+05;4.8184e+05
428;2.8311e+05;5.0084e+05
430;2.4607e+05;5.286e+05
432;2.1412e+05;5.5216e+05
434;1.6533e+05;5.5216e+05
436;1.3282e+05;5.4704e+05
438;1.1914e+05;5.0156e+05
440;1.0258e+05;4.1328e+05
442;92780;3.6324e+05
444;81444;2.8272e+05
446;76324;2.3722e+05
448;67044;1.7332e+05
450;62816;1.0329e+05
452;58864;62640
454;53552;36170
456;49496;30699
458;47496;25886
460;44480;23389
462;41320;20891
464;39807;19261
466;37073;18142
468;34871;17026
470;33209;16156
472;31620;15310
474;30114;15048
476;28851;14793
478;27718;14657
480;26629;14550
482;25702;14881
484;25180;15212
486;24670;15544
488;24175;15898
490;23684;16684
492;23087;17470
494;22458;18256
496;21850;19041
498;21260;19891
500;20933;20862
502;20596;21833
504;20418;22804
506;19946;23774
508;19996;24745
510;20035;25774
512;20150;26937
514;20429;28100
516;21002;29263
518;22510;30426
520;24202;31590
522;26450;32851
524;29269;34398
526;32496;35944
528;35990;37490
530;39957;39036
532;43876;40584
534;46924;42088
536;49752;43592
538;51712;45092
540;53236;46592
542;53292;48148
544;52096;49708
546;49868;51268
548;46660;52496
550;43016;53412
552;39675;54080
554;36815;54520
556;34477;54540
558;33456;54164
560;32613;53788
562;32620;52276
564;33916;50572
566;36495;48828
568;40172;46948
570;44496;45072
572;49172;43340
574;53308;41716
576;55540;40092
578;54728;38468
580;50104;37020
582;43304;35676
584;34640;34333
586;26600;32852
588;19763;31075
590;14401;28324
592;10468;25470
594;7678.8;22575
596;5683.6;19800
598;4504.4;17058
600;3200;14677
602;2664;13622
604;2128;12568
606;1789.2;11513
608;1647.6;10478
610;1506;9443.6
612;1364.4;8591.2
614;1222.8;7762
616;1110;7344.8
618;1026;6927.2
620;942;6509.6
622;858;6193.2
624;774;5906.8
626;707.6;5620
628;658.8;5366.8
630;610;5148.8
632;561.2;4930.8
634;512.4;4730.8
636;478.8;4602.4
638;460.4;4473.6
640;442;4345.2
642;423.6;4216.8
644;405.2;4088.4
646;390.4;3965.1
648;379.2;3857.6
650;368;3750.1
652;356.8;3642.6
654;345.6;3535.2
656;335.2;3427.7
658;325.6;3320.2
660;319.6;3226.6
662;314;3140.3
664;308.4;3054
666;302.8;2967.7
668;298;2881.4
670;294;2795.1
672;290;2708.8
674;285.6;2627.6
676;282;2554.4
678;279.2;2481.2
680;277.6;2407.9
682;276;2334.7
684;274.4;2261.5
686;272.8;2188.2
688;274.4;2115
690;276;2052
692;277.6;2000.5
694;279.2;1949
696;282;1897.6
698;286;1846.1
700;290;1794.3
702;294;1741
704;298;1687.8
706;302.8;1634.5
708;308.4;1583.5
710;314;1540.5
712;319.6;1497.4
714;325.2;1454.4
716;332;1411.3
718;340;1368.3
720;348;1325.9
722;356;1285.2
724;364;1244.4
726;372.4;1203.7
728;381.2;1152.8
730;390;1102.2
732;398.8;1102.2
734;407.6;1102.2
736;418.8;1101.8
738;432.4;1100.5
740;446;1115.9
742;459.6;1161.6
744;473.2;1207.4
746;487.6;1266
748;502.8;1333.2
750;518;1405.2
752;533.2;1515.3
754;548.4;1541.8
756;562;1560.5
758;574;1560.5
